ELECTORAL_DISTRICT_NUMBER,PROVINCE,ELECTORAL_DISTRICT_NAME,URBAN_SEMIURBAN_RURAL,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES_OBTAINED,PERCENTAGE_OF_VOTES_OBTAINED,MAJORITY,MAJORITY_PERCENTAGE,POPULATION,ELECTORS,PERCENTAGE_OF_VOTER_TURNOUT,ELECTED_CANDIDATE,ELECTED_CANDIDATE_PARTY,PROV_CODE
24055,Quebec,Papineau,Urban,Christine Paré,NDP-New Democratic Party,10303,22.7,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Nabila Ben Youssef,Bloc Quebecois,6830,15.0,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Julio Rivera,Conservative,2198,4.8,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Alain Lepine,Green Party,1448,3.2,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Christian Boutin,People's Party - PPC,1064,2.3,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Above Znoneofthe,Rhinoceros Party,418,0.9,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Garnet Colly,Marxist-Leninist,115,0.3,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Raymond Martin,Independent,102,0.2,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24055,Quebec,Papineau,Urban,Béatrice Zako,Independent,97,0.2,,,110750,72972,63.5,"Trudeau, Justin",Liberal,QC
24014,Quebec,Pierre-Boucher--Les Patriotes--Verchères,Semi-urban,Xavier Barsalou-Duval,Bloc Quebecois,29978,54.3,15696.0,28.4,99787,81490,69.0,"Barsalou-Duval, Xavier",Bloc Quebecois,QC
24014,Quebec,Pierre-Boucher--Les Patriotes--Verchères,Semi-urban,Louis-Gabriel Girard,Liberal,14282,25.9,,,99787,81490,69.0,"Barsalou-Duval, Xavier",Bloc Quebecois,QC
24014,Quebec,Pierre-Boucher--Les Patriotes--Verchères,Semi-urban,Jérôme Painchaud,Conservative,4870,8.8,,,99787,81490,69.0,"Barsalou-Duval, Xavier",Bloc Quebecois,QC
24014,Quebec,Pierre-Boucher--Les Patriotes--Verchères,Semi-urban,Martin Leprohon,NDP-New Democratic Party,4261,7.7,,,99787,81490,69.0,"Barsalou-Duval, Xavier",Bloc Quebecois,QC
24014,Quebec,Pierre-Boucher--Les Patriotes--Verchères,Semi-urban,Alexandre Blais,People's Party - PPC,1078,2.0,,,99787,81490,69.0,"Barsalou-Duval, Xavier",Bloc Quebecois,QC
24014,Quebec,Pierre-Boucher--Les Patriotes--Verchères,Semi-urban,Carole Boisvert,Free Party Canada,777,1.4,,,99787,81490,69.0,"Barsalou-Duval, Xavier",Bloc Quebecois,QC
24056,Quebec,Pierrefonds--Dollard,Urban,Sameer Zuberi,Liberal,29296,56.0,18403.0,35.2,108587,81898,64.6,"Zuberi, Sameer",Liberal,QC
24056,Quebec,Pierrefonds--Dollard,Urban,Terry Roberts,Conservative,10893,20.8,,,108587,81898,64.6,"Zuberi, Sameer",Liberal,QC
24056,Quebec,Pierrefonds--Dollard,Urban,Maninderjit Kaur Tumbar,NDP-New Democratic Party,6034,11.5,,,108587,81898,64.6,"Zuberi, Sameer",Liberal,QC
24056,Quebec,Pierrefonds--Dollard,Urban,Nadia Bourque,Bloc Quebecois,4141,7.9,,,108587,81898,64.6,"Zuberi, Sameer",Liberal,QC
24056,Quebec,Pierrefonds--Dollard,Urban,Mark Sibthorpe,People's Party - PPC,1942,3.7,,,108587,81898,64.6,"Zuberi, Sameer",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,Sophie Chatel,Liberal,26899,43.4,14095.0,22.7,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,Michel Gauthier,Conservative,12804,20.6,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,Gabrielle Desjardins,Bloc Quebecois,10424,16.8,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,Denise Giroux,NDP-New Democratic Party,6824,11.0,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,David Bruce Gottfred,People's Party - PPC,2813,4.5,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,Shaughn McArthur,Green Party,1711,2.8,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,Geneviève Labonté-Chartrand,Free Party Canada,480,0.8,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24057,Quebec,Pontiac,Semi-urban,James McNair,CFF - Canada's Fourth Front,52,0.1,,,115531,96102,65.3,"Chatel, Sophie",Liberal,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,Joël Godin,Conservative,33657,51.6,18132.0,27.8,115313,96383,68.7,"Godin, Joël",Conservative,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,Christian Hébert,Bloc Quebecois,15525,23.8,,,115313,96383,68.7,"Godin, Joël",Conservative,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,Sani Diallo,Liberal,10068,15.4,,,115313,96383,68.7,"Godin, Joël",Conservative,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,David-Roger Gagnon,NDP-New Democratic Party,3223,4.9,,,115313,96383,68.7,"Godin, Joël",Conservative,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,Nash Mathieu,People's Party - PPC,1615,2.5,,,115313,96383,68.7,"Godin, Joël",Conservative,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,Charles Fiset,Free Party Canada,638,1.0,,,115313,96383,68.7,"Godin, Joël",Conservative,QC
24058,Quebec,Portneuf--Jacques-Cartier,Rural,Tommy Pelletier,Rhinoceros Party,490,0.8,,,115313,96383,68.7,"Godin, Joël",Conservative,QC
24059,Quebec,Québec,Urban,Jean-Yves Duclos,Liberal,18132,35.4,3308.0,6.5,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24059,Quebec,Québec,Urban,Louis Sansfaçon,Bloc Quebecois,14824,29.0,,,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24059,Quebec,Québec,Urban,Bianca Boutin,Conservative,9239,18.0,,,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24059,Quebec,Québec,Urban,Tommy Bureau,NDP-New Democratic Party,6652,13.0,,,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24059,Quebec,Québec,Urban,Patrick Kerr,Green Party,1182,2.3,,,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24059,Quebec,Québec,Urban,Daniel Brisson,People's Party - PPC,855,1.7,,,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24059,Quebec,Québec,Urban,Karine Simard,Free Party Canada,307,0.6,,,97143,77647,67.2,"Duclos, Jean-Yves",Liberal,QC
24060,Quebec,Repentigny,Semi-urban,Monique Pauzé,Bloc Quebecois,30848,51.7,14348.0,24.0,116066,92920,65.9,"Pauzé, Monique",Bloc Quebecois,QC
24060,Quebec,Repentigny,Semi-urban,Yvelie Kernizan,Liberal,16500,27.6,,,116066,92920,65.9,"Pauzé, Monique",Bloc Quebecois,QC
24060,Quebec,Repentigny,Semi-urban,Pascal Bapfou Vozang,Conservative,5328,8.9,,,116066,92920,65.9,"Pauzé, Monique",Bloc Quebecois,QC
24060,Quebec,Repentigny,Semi-urban,Naomie Mathieu Chauvette,NDP-New Democratic Party,4484,7.5,,,116066,92920,65.9,"Pauzé, Monique",Bloc Quebecois,QC
24060,Quebec,Repentigny,Semi-urban,Pierre Duval,Free Party Canada,2025,3.4,,,116066,92920,65.9,"Pauzé, Monique",Bloc Quebecois,QC
24060,Quebec,Repentigny,Semi-urban,Micheline Boucher Granger,Pour l'Indépendance du Québec,516,0.9,,,116066,92920,65.9,"Pauzé, Monique",Bloc Quebecois,QC
24061,Quebec,Richmond--Arthabaska,Rural,Alain Rayes,Conservative,28513,49.9,14363.0,25.1,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24061,Quebec,Richmond--Arthabaska,Rural,Diego Scalzo,Bloc Quebecois,14150,24.8,,,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24061,Quebec,Richmond--Arthabaska,Rural,Alexandre Desmarais,Liberal,8543,14.9,,,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24061,Quebec,Richmond--Arthabaska,Rural,Nataël Bureau,NDP-New Democratic Party,2550,4.5,,,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24061,Quebec,Richmond--Arthabaska,Rural,Nadine Fougeron,People's Party - PPC,2058,3.6,,,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24061,Quebec,Richmond--Arthabaska,Rural,Louis Richard,Free Party Canada,897,1.6,,,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24061,Quebec,Richmond--Arthabaska,Rural,Marjolaine Delisle,Rhinoceros Party,448,0.8,,,107242,88101,66.2,"Rayes, Alain",Conservative,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Maxime Blanchette-Joncas,Bloc Quebecois,20657,49.0,10175.0,24.1,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Léonie Lajoie,Liberal,10482,24.9,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,France Gagnon,Conservative,5569,13.2,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Sylvain Lajoie,NDP-New Democratic Party,2641,6.3,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Noémi Bureau-Civil,Independent,1467,3.5,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Jean Tardy,People's Party - PPC,700,1.7,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Michel Raymond,Free Party Canada,430,1.0,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24018,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rural,Megan Hodges,Rhinoceros Party,192,0.5,,,84918,70608,60.9,"Blanchette-Joncas, Maxime",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Luc Desilets,Bloc Quebecois,21645,40.6,2810.0,5.3,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Linda Lapointe,Liberal,18835,35.3,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Marc Duffy-Vincelette,Conservative,5479,10.3,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Joseph Hakizimana,NDP-New Democratic Party,3852,7.2,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Hans Roker Jr,People's Party - PPC,1468,2.8,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Alec Ware,Green Party,972,1.8,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Valérie Beauséjour,Free Party Canada,847,1.6,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Michael Dionne,Patriot Party,149,0.3,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24062,Quebec,Rivière-des-Mille-Îles,Semi-urban,Julius Bute,Pour l'Indépendance du Québec,119,0.2,,,102346,83247,65.4,"Desilets, Luc",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Rhéal Fortin,Bloc Quebecois,29943,52.2,17176.0,30.0,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Theodora Bajkin,Liberal,12767,22.3,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Patricia Morrissette,Conservative,6803,11.9,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Mary-Helen Paspaliaris,NDP-New Democratic Party,3958,6.9,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Keeyan Ravanshid,People's Party - PPC,2164,3.8,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Marie-Eve Damour,Free Party Canada,1036,1.8,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Jean-François René,Rhinoceros Party,373,0.7,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24063,Quebec,Rivière-du-Nord,Semi-urban,Nicolas Riqueur-Lainé,Pour l'Indépendance du Québec,285,0.5,,,112156,99384,59.0,"Fortin, Rhéal",Bloc Quebecois,QC
24064,Quebec,Rosemont--La Petite-Patrie,Urban,Alexandre Boulerice,NDP-New Democratic Party,26708,48.6,13970.0,25.4,110677,82719,67.8,"Boulerice, Alexandre",NDP,QC
24064,Quebec,Rosemont--La Petite-Patrie,Urban,Nancy Drolet,Liberal,12738,23.2,,,110677,82719,67.8,"Boulerice, Alexandre",NDP,QC
24064,Quebec,Rosemont--La Petite-Patrie,Urban,Shophika Vaithyanathasarma,Bloc Quebecois,11751,21.4,,,110677,82719,67.8,"Boulerice, Alexandre",NDP,QC
24064,Quebec,Rosemont--La Petite-Patrie,Urban,Surelys Perez Hernandez,Conservative,2199,4.0,,,110677,82719,67.8,"Boulerice, Alexandre",NDP,QC
24064,Quebec,Rosemont--La Petite-Patrie,Urban,Franco Fiori,Green Party,1308,2.4,,,110677,82719,67.8,"Boulerice, Alexandre",NDP,QC
24064,Quebec,Rosemont--La Petite-Patrie,Urban,Gisèle Desrochers,Marxist-Leninist,284,0.5,,,110677,82719,67.8,"Boulerice, Alexandre",NDP,QC
24066,Quebec,Saint-Hyacinthe--Bagot,Rural,Simon-Pierre Savard-Tremblay,Bloc Quebecois,25165,47.5,13135.0,24.8,102693,83254,65.4,"Savard-Tremblay, Simon-Pierre",Bloc Quebecois,QC
24066,Quebec,Saint-Hyacinthe--Bagot,Rural,Caroline-Joan Boucher,Liberal,12030,22.7,,,102693,83254,65.4,"Savard-Tremblay, Simon-Pierre",Bloc Quebecois,QC
24066,Quebec,Saint-Hyacinthe--Bagot,Rural,André Lepage,Conservative,7166,13.5,,,102693,83254,65.4,"Savard-Tremblay, Simon-Pierre",Bloc Quebecois,QC
24066,Quebec,Saint-Hyacinthe--Bagot,Rural,Brigitte Sansoucy,NDP-New Democratic Party,6170,11.6,,,102693,83254,65.4,"Savard-Tremblay, Simon-Pierre",Bloc Quebecois,QC
24066,Quebec,Saint-Hyacinthe--Bagot,Rural,Sylvain Pariseau,People's Party - PPC,1445,2.7,,,102693,83254,65.4,"Savard-Tremblay, Simon-Pierre",Bloc Quebecois,QC
24066,Quebec,Saint-Hyacinthe--Bagot,Rural,Sébastien Desautels,Free Party Canada,1055,2.0,,,102693,83254,65.4,"Savard-Tremblay, Simon-Pierre",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Christine Normandin,Bloc Quebecois,27243,46.0,10593.0,17.9,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Jean Rioux,Liberal,16650,28.1,,,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Serge Benoit,Conservative,7544,12.7,,,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Jeremy Fournier,NDP-New Democratic Party,4308,7.3,,,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Jean-Charles Cléroux,Free Party Canada,1790,3.0,,,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Leigh V. Ryan,Green Party,1262,2.1,,,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24067,Quebec,Saint-Jean,Semi-urban,Pierre Duteau,Pour l'Indépendance du Québec,413,0.7,,,111190,92169,65.9,"Normandin, Christine",Bloc Quebecois,QC
24068,Quebec,Saint-Laurent,Urban,Emmanuella Lambropoulos,Liberal,22056,59.1,15154.0,40.6,98828,66342,57.2,"Lambropoulos, Emmanuella",Liberal,QC
24068,Quebec,Saint-Laurent,Urban,Richard Serour,Conservative,6902,18.5,,,98828,66342,57.2,"Lambropoulos, Emmanuella",Liberal,QC
24068,Quebec,Saint-Laurent,Urban,Nathan Devereaux,NDP-New Democratic Party,4059,10.9,,,98828,66342,57.2,"Lambropoulos, Emmanuella",Liberal,QC
24068,Quebec,Saint-Laurent,Urban,Florence Racicot,Bloc Quebecois,2972,8.0,,,98828,66342,57.2,"Lambropoulos, Emmanuella",Liberal,QC
24068,Quebec,Saint-Laurent,Urban,Gregory Yablunovsky,People's Party - PPC,1182,3.2,,,98828,66342,57.2,"Lambropoulos, Emmanuella",Liberal,QC
24068,Quebec,Saint-Laurent,Urban,Ginette Boutet,Marxist-Leninist,146,0.4,,,98828,66342,57.2,"Lambropoulos, Emmanuella",Liberal,QC
24069,Quebec,Saint-Léonard--Saint-Michel,Urban,Patricia Lattanzio,Liberal,29010,69.4,24629.0,58.9,113212,74481,57.3,"Lattanzio, Patricia",Liberal,QC
24069,Quebec,Saint-Léonard--Saint-Michel,Urban,Louis Ialenti,Conservative,4381,10.5,,,113212,74481,57.3,"Lattanzio, Patricia",Liberal,QC
24069,Quebec,Saint-Léonard--Saint-Michel,Urban,Alicia Di Tullio,NDP-New Democratic Party,3460,8.3,,,113212,74481,57.3,"Lattanzio, Patricia",Liberal,QC
24069,Quebec,Saint-Léonard--Saint-Michel,Urban,Laurence Massey,Bloc Quebecois,3395,8.1,,,113212,74481,57.3,"Lattanzio, Patricia",Liberal,QC
24069,Quebec,Saint-Léonard--Saint-Michel,Urban,Daniele Ritacca,People's Party - PPC,1568,3.7,,,113212,74481,57.3,"Lattanzio, Patricia",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,François-Philippe Champagne,Liberal,23913,42.4,6973.0,12.4,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Jacynthe Bruneau,Bloc Quebecois,16940,30.1,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Jacques Bouchard,Conservative,10139,18.0,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Valérie Bergeron,NDP-New Democratic Party,2849,5.1,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Marie Gabrielle Rouleau,Free Party Canada,932,1.7,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Marie-Claude Gaudet,Green Party,731,1.3,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Hugo Beaumont Tremblay,Marijuana Party,307,0.5,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Dji-Pé Frazer,Rhinoceros Party,285,0.5,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24070,Quebec,Saint-Maurice--Champlain,Rural,Alain Magnan,Independent,241,0.4,,,110264,93769,61.6,"Champagne, François-Philippe",Liberal,QC
24071,Quebec,Salaberry--Suroît,Rural,Claude Debellefeuille,Bloc Quebecois,29093,47.8,12543.0,20.6,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24071,Quebec,Salaberry--Suroît,Rural,Linda Gallant,Liberal,16550,27.2,,,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24071,Quebec,Salaberry--Suroît,Rural,Jean Collette,Conservative,7476,12.3,,,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24071,Quebec,Salaberry--Suroît,Rural,Joan Gottman,NDP-New Democratic Party,4529,7.4,,,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24071,Quebec,Salaberry--Suroît,Rural,Nicolas Thivierge,People's Party - PPC,2207,3.6,,,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24071,Quebec,Salaberry--Suroît,Rural,Marcel Goyette,Free Party Canada,561,0.9,,,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24071,Quebec,Salaberry--Suroît,Rural,Luc Bertrand,Pour l'Indépendance du Québec,449,0.7,,,112826,99516,62.5,"Debellefeuille, Claude",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Andréanne Larouche,Bloc Quebecois,24997,41.9,5029.0,8.4,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Pierre Breton,Liberal,19968,33.5,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Céline Lalancette,Conservative,7234,12.1,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Patrick Jasmin,NDP-New Democratic Party,3173,5.3,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Gerda Schieder,People's Party - PPC,2073,3.5,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Mathieu Morin,Green Party,1059,1.8,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Joël Lacroix,Free Party Canada,599,1.0,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Yannick Brisebois,Marijuana Party,284,0.5,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24072,Quebec,Shefford,Rural,Jean-Philippe Beaudry-Graham,Pour l'Indépendance du Québec,239,0.4,,,111139,93696,65.1,"Larouche, Andréanne",Bloc Quebecois,QC
24073,Quebec,Sherbrooke,Semi-urban,Élisabeth Brière,Liberal,21830,37.5,4982.0,8.6,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24073,Quebec,Sherbrooke,Semi-urban,Ensaf Haidar,Bloc Quebecois,16848,29.0,,,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24073,Quebec,Sherbrooke,Semi-urban,Marika Lalime,NDP-New Democratic Party,8107,13.9,,,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24073,Quebec,Sherbrooke,Semi-urban,Andrea Winters,Conservative,7490,12.9,,,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24073,Quebec,Sherbrooke,Semi-urban,Marie-Clarisse Berger,Green Party,1670,2.9,,,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24073,Quebec,Sherbrooke,Semi-urban,Marcela Niculescu,People's Party - PPC,1453,2.5,,,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24073,Quebec,Sherbrooke,Semi-urban,Maxime Boivin,Free Party Canada,787,1.4,,,111176,91422,65.1,"Brière, Élisabeth",Liberal,QC
24075,Quebec,Terrebonne,Semi-urban,Nathalie Sinclair-Desgagné,Bloc Quebecois,24270,41.2,6795.0,11.5,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,Eric Forget,Liberal,17475,29.6,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,Frédérick Desjardins,Conservative,6183,10.5,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,Luke Mayba,NDP-New Democratic Party,3913,6.6,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,Michel Boudrias,No Affiliation,3864,6.6,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,Louis Stinziani,People's Party - PPC,1594,2.7,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,David Hamelin-Schuilenburg,Green Party,847,1.4,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24075,Quebec,Terrebonne,Semi-urban,Nathan Fortin-Dubé,Free Party Canada,803,1.4,,,111575,91028,66.2,"Sinclair-Desgagné, Nathalie",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Louise Chabot,Bloc Quebecois,21526,41.2,3130.0,6.0,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Ramez Ayoub,Liberal,18396,35.2,,,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Marc Bissonnette,Conservative,5773,11.0,,,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Julienne Soumaoro,NDP-New Democratic Party,3827,7.3,,,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Vincent Aubé,People's Party - PPC,1386,2.7,,,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Simon Paré-Poupart,Green Party,1018,1.9,,,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24013,Quebec,Thérèse-De Blainville,Semi-urban,Peggy Tassignon,Free Party Canada,362,0.7,,,101840,83453,63.8,"Chabot, Louise",Bloc Quebecois,QC
24076,Quebec,Trois-Rivières,Semi-urban,René Villemure,Bloc Quebecois,17136,29.5,83.0,0.1,110515,92413,64.2,"Villemure, René",Bloc Quebecois,QC
24076,Quebec,Trois-Rivières,Semi-urban,Yves Levesque,Conservative,17053,29.3,,,110515,92413,64.2,"Villemure, René",Bloc Quebecois,QC
